Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
EASTERN DR & HUMBER CRES,Casualty,PORT COQUITLAM,2018,1,49.250733,-122.774796
EASTERN DR & PITT RIVER RD,Casualty,PORT COQUITLAM,2018,1,49.252996,-122.773378
EASTERN DR & WESTERN DR,Casualty,PORT COQUITLAM,2018,1,49.240374,-122.783748
FLINT ST & LOUGHEED HWY,Casualty,PORT COQUITLAM,2018,1,49.26675,-122.774493
FLINT ST & PRAIRIE AVE,Casualty,PORT COQUITLAM,2018,1,49.271165,-122.770519
FRASER AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,1,49.269273,-122.775292
FREMONT ST & PRAIRIE AVE,Casualty,PORT COQUITLAM,2018,1,49.271284,-122.733778
FREMONT ST CONN & NICOLA AVE & NICOLA PL,Casualty,PORT COQUITLAM,2018,1,49.254699,-122.731503
FREMONT ST CONN & SEABORNE AVE & SEABORNE PL,Casualty,PORT COQUITLAM,2018,1,49.256003,-122.728894
FREMONT ST CONN & SHERLING AVE & SHERLING PL,Casualty,PORT COQUITLAM,2018,1,49.253452,-122.733949
GREENE ST & WESTWOOD ST,Casualty,PORT COQUITLAM,2018,1,49.265565,-122.790747
HAWTHORNE AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,1,49.257123,-122.782677
IMPERIAL AVE & ST MICHAEL ST,Casualty,PORT COQUITLAM,2018,1,49.263664,-122.761474
KELLY AVE & KINGSWAY AVE,Casualty,PORT COQUITLAM,2018,1,49.259078,-122.775334
KINGSWAY AVE & TYNER ST,Casualty,PORT COQUITLAM,2018,1,49.258707,-122.77533
LANGAN AVE & TAYLOR ST,Casualty,PORT COQUITLAM,2018,1,49.250181,-122.769119
LAURIER AVE & OXFORD ST,Casualty,PORT COQUITLAM,2018,1,49.275305,-122.767224
LINCOLN AVE & OXFORD ST,Casualty,PORT COQUITLAM,2018,1,49.278367,-122.767252
LINCOLN DR & SUTHERLAND ST,Casualty,PORT COQUITLAM,2018,1,49.278475,-122.753609
LIVERPOOL ST & PRAIRIE AVE,Casualty,PORT COQUITLAM,2018,1,49.271171,-122.760367
LOBB AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,1,49.253313,-122.782635
